ODINO,CDESCR,원래_COMPDESC,LLM_part_category,LLM_symptoms,LLM_severity,LLM_driving_context,LLM_evidence_quote,LLM_insufficient_info,부품_정오,심각도_정오,증상_정오,환각_여부,오류유형,메모
11584614,"12-29-2023, the Kia Sorento started smoking on the way home. When I got home I opened the hood and saw fire. I put the fire out with a fire extinguisher. On 1-9-2024, I made an appointment with Archer Kia and had the car towed there for a diagnosis. After a month with no response, the service manager at Kia advised me to contact Kia Corporation. I spoke to a representative and was assigned a case number. The representative stated that I should have gotten a software update but could not produce any information that I received a recall notice for the software update. All recall notices that I received were addressed and oil changes were regularly done at a major retail store.  I was told that an investigation would be done and that I would be contacted.  I didnât receive a response for two months.  I called Kia Corporation and was told that they sent information to an address that belonged to my mother which was calling her number instead of calling me. It was never determined why the information was sent to my mother. The car had been registered to my address for over 10 years. Once we established the correct information, I was asked to send service records. I was sent a letter before the representative received the service records stating that the cause of the fire was normal wear and tear. I went to the Archer Kia dealership to talk about the next step. The service manager stated that Kia didnât send him anything so I waited. This was May 2023. January 2024, I contacted Archia Kia for information. They had received a decline notice to replace the motor. I called Kia Corporation again. I discovered that the original representative no longer worked there. The new representative wanted to call the dealership on a three way call. The service manager was not available and the representative told me he would call me back. In February 2024, I received a recall notice concerning the software issue and a notice stating that the car could catch on fire. In March 2024, I rec",FORWARD COLLISION AVOIDANCE: ADAPTIVE CRUISE CONTROL,ELECTRICAL_SYSTEM,주행 중 연기 발생 / 엔진룸 화재,CRITICAL,주행 중,the Kia Sorento started smoking on the way home. When I got home I opened the hood and saw fire.,False,,,,,,
11478093,My vehicle has a safety recall and KIA hasn't sent me a paper of when this safety recall is going to be fixed. My vehicle automatically turns on and off the check engine light and I am unsure if it's because of the safety recall. ,UNKNOWN OR OTHER,INSUFFICIENT_INFO,체크엔진 경고등 간헐적 점멸,MODERATE,불명,My vehicle automatically turns on and off the check engine light and I am unsure if it's because of the safety recall.,True,,,,,,
11707033,"I am reporting ongoing safety issues with my Kia K4 LXS involving driver assistance systems and steering control.  While driving in heavy rain with reduced visibility, the vehicle disabled multiple sensors and displayed a âcamera obscuredâ message along with inattentive driving warnings, despite both of my hands being on the steering wheel and my full attention on the road. The loss of driver assistance features during hazardous weather conditions created a distracting and dangerous situation.  This issue occurs frequently. I regularly receive false inattentive driving and hands-on-wheel warnings even when I am driving properly. These alerts are distracting and interfere with safe vehicle operation.  I am also experiencing lane control and steering interference. The steering wheel will sometimes pull the vehicle in a direction that does not match the road, even when lane assist is turned off. This is especially dangerous in construction zones with temporary lanes marked by reflectors, including when driving next to large trucks. I have experienced multiple near-miss incidents and have had to physically override the steering wheel to remain in my lane.  These problems now occur almost every time I drive and have caused me to feel unsafe operating the vehicle. I believe this represents a serious safety defect. ",ELECTRICAL SYSTEM,ADAS,악천후 시 ADAS 센서 비활성화 / 차선유지 보조 오작동으로 조향 간섭 / 허위 부주의 운전 경고 발생,CRITICAL,주행 중,"The steering wheel will sometimes pull the vehicle in a direction that does not match the road, even when lane assist is turned off.",False,,,,,,
11568390,"While driving on the freeway, the car began to lose power. As I struggled to maneuver to the right lane to pull over, something under the hood caught on fire and black smoke came billowing out.  We were able to get out of the car before a young man traveling in he opposite direction saw us and turned around to help. With his help we were able to get my grand kids out and into his car. Thank God that he was not criminally minded. I then  called AAA who towed the car back to our home. This happened in July 2023. In October, I received a safety recall notice warning of a possible fire happening. I contacted the local Kia dealership and was told that there was nothing they could except wait and that it could take up to a year or receive the part to remedy the problem. I then contacted Kia Headquarters and was told the same thing. It is now January 2024, and still no remedy and no operable vehicle.",UNKNOWN OR OTHER,ELECTRICAL_SYSTEM,주행 중 동력 상실 / 후드 화재 및 검은 연기,CRITICAL,주행 중,"While driving on the freeway, the car began to lose power. As I struggled to maneuver to the right lane to pull over, something under the hood caught on fire and black smoke came billowing out.",False,,,,,,
11551510,"What component or system failed or malfunctioned, and is it available for inspection upon request?  Infotainment center and back up camera failure as well as multiple other system failures that have been ongoing since 2020 after water damage when ac drain hose backed up. Kia has been contacted multiple times since April 2021 regarding this issue after it caused an accident while backing up in April 2021. Kia did not inspect the vehicle until March 2022 due to failure to arrange appropriate appointments and transportation.   How was your safety or the safety of others put at risk?  The ongoing failures are a safety issue because they make it impossible to safely drive and not be distracted. The screen failures when backing up make it unsafe regarding backover protection and the sensors also fail for back up and blind spot.    Has the problem been reproduced or confirmed by a dealer or independent service center?  Unknown. The manufacturer has been provided with multiple videos of the issue and has had the vehicle for over 100 days total. Kia states they have the right to manufacture vehicles with features and that they should not be relied upon for safety, under oath and recorded.  Has the vehicle or component been inspected by the manufacturer, police, insurance representatives or others?  Manufacturer has had access to the vehicle. They are not sharing what occured when they had it.   Were there any warning lamps, messages or other symptoms of the problem prior to the failure, and when did they first appear?  Failure is not consistent or anticipated. It does occur more often when it has rained. ",BACK OVER PREVENTION: WARNINGS,ADAS,후방카메라 화면 오류 / 블라인드스팟 센서 오작동,CRITICAL,주행 중,Kia has been contacted multiple times since April 2021 regarding this issue after it caused an accident while backing up in April 2021.,False,,,,,,
11617279,The media screen console part of my 2024 Santa Fe has been glitching since July. Dealer has already looked at it and said thereâs nothing to fixâ¦ now the screen flickers AND the audio glitches over and over the same few seconds.. then turn the car OFF and the audio stays playing over and over. Cannot turn off the media console or adjust volume. Screen goes out when using backup camera. I mostly have videos of these issues as you canât tell in photos whatâs wrong. ,BACK OVER PREVENTION: WARNINGS,ADAS,후방카메라 사용 시 화면 꺼짐 / 미디어 화면 깜빡임 및 오디오 오류,SERIOUS,주행 중,Screen goes out when using backup camera.,False,,,,,,
11729316,"I've never had a problem staying awake driving. I don't  have this problem in my vehicles or other vehicles. Every time I drove the car. I could not stay awake.  I ve driven the car about 5xs. I would fall asleep and not even realize it. Now fell asleep driving the car two nights ago. No warnings went off and I drove over one lane and off into the center medium. No lane change warnings went off. But I truly believe there's something more going on with the car that's making people fall asleep. My neighbor rode with me to the store in it (14 miles ) she was falling asleep. She wasn't one bit tired when we left my house. Once we got out of the car and we're changing the oil on it, we walked over to the store a couple blocks away. We were fine. Got back in the car. Started driving it home and both of us were falling asleep. There was something wrong with this car",FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,ADAS,차선이탈 경고 미작동 / 차선이탈 후 중앙분리대 충격,CRITICAL,주행 중,No warnings went off and I drove over one lane and off into the center medium.,True,,,,,,
11547006,I was driving on the highway at 60/70 mph and there was nothing in front of my car. The brakes went on for a second stopping the car abruptly and I swerved. This happened once more. It then happened another time on a turn as I tried to regain control of the car it swerved from side to side and almost got into an accident or spun out.,FORWARD COLLISION AVOIDANCE: WARNINGS,ADAS,전방충돌방지 허위 작동으로 급제동 / 급제동 후 차량 급격한 쏠림,CRITICAL,주행 중,I was driving on the highway at 60/70 mph and there was nothing in front of my car. The brakes went on for a second stopping the car abruptly and I swerved.,False,,,,,,
11635055,"I am not the original owner but after changing my oil on 10/05/24 I have had to add oil on three different times, twice I myself put oil into my car and oil change at Valvoline instant oil change and other added quart today and all between 98,219 to 99,967 mileage, ",UNKNOWN OR OTHER,NON_ELECTRICAL,비정상적 엔진오일 소모,MODERATE,불명,after changing my oil on 10/05/24 I have had to add oil on three different times,False,,,,,,
11627029,"From the first day of purchase last June 2024, the front collision warning and avoidance system does not perform as advertised. If a vehicle cuts you off or you approach a vehicle too quickly the warning and braking do not intercede. Iâve taken the car to our local deal 3 times and they have found no trouble codes and say there is nothing they can do. I was also told by the service department manager âthat they are all like thatâ. As a reference, we owned a 2019 Kia Sorrento for 140,000 miles and that collision avoidance system worked perfectly. I also contacted Hyundia National Service and they simply sent me back to the dealer. Lastly, I submitted a Lemon Law request that was rejected by Hyundia. ",FORWARD COLLISION AVOIDANCE: WARNINGS,ADAS,전방충돌 경고 미작동 / 자동긴급제동 미작동,SERIOUS,주행 중,the front collision warning and avoidance system does not perform as advertised. If a vehicle cuts you off or you approach a vehicle too quickly the warning and braking do not intercede.,False,,,,,,
11541676,Vehicle suspension in the rear feels unsettled when coming to a stop using regenerative brakes. If you hit a small pothole or recessed manhole cover the rear of the vehicle feels like the rear suspension is jumping.  I've taken it to the dealer and they noticed it and also it occurred on a new ioniq 5 they had on the lot also. ,UNKNOWN OR OTHER,NON_ELECTRICAL,회생제동 시 후방 서스펜션 불안정 / 노면 충격 시 후방 차체 튐 현상,MINOR,주행 중,Vehicle suspension in the rear feels unsettled when coming to a stop using regenerative brakes. If you hit a small pothole or recessed manhole cover the rear of the vehicle feels like the rear suspension is jumping.,False,,,,,,
11737278,"The safety sensors mounted on the front of the car seem to disable frequetnly.  I belive it is the bumper sensors.  I read it is a known issue that they disable when it's snowing/raining/mud.  I cleaned them off and took a 3 hour drive in clear weather, dry roads.  they would disable and then come back on intermittently through the drive.. drive started in day time and ended in the evening.  When they are disabled the cruise control will not work and then the car just starts to slowly slow down on the the highway.   On the drive back, it was daytime, roads were clear, no inclement weather and it did the same the whole way back. periodally disable and then come back on. ",FORWARD COLLISION AVOIDANCE: ADAPTIVE CRUISE CONTROL,ADAS,전방 안전센서 간헐적 비활성화 / 어댑티브 크루즈컨트롤 자동 해제 및 감속,SERIOUS,주행 중,When they are disabled the cruise control will not work and then the car just starts to slowly slow down on the the highway.,False,,,,,,
