Manufacturer,NHTSACampaignNumber,parkIt,parkOutSide,overTheAirUpdate,NHTSAActionNumber,ReportReceivedDate,Component,Summary,Consequence,Remedy,Notes,ModelYear,Make,Model,_query_make,_query_model,_query_year,report_date_iso
Hyundai Motor America,20V543000,False,True,False,PE19003,04/09/2020,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE","Hyundai Motor America (Hyundai) recalled certain 2019-2021 Tucson vehicles on September 4, 2020.  On December 30, 2020, Hyundai expanded the recall population, and added certain 2016-2018 Tucson vehicles.  The Anti-lock Brake Hydraulic Electronic Control Unit (HECU) could corrode internally and cause an electrical short, possibly resulting in an engine compartment fire.",An engine compartment fire can increase the risk of injury or crash.,"Hyundai will notify owners, and dealers will replace the HECU fuse.  For 2019-2021 model years, the Electronic Stability Control (ESC) software will also be updated.  Recall repairs will be performed free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 2, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 195.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2020,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2020,2020-09-04
Hyundai Motor America,20V543000,False,True,False,PE19003,04/09/2020,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE","Hyundai Motor America (Hyundai) recalled certain 2019-2021 Tucson vehicles on September 4, 2020.  On December 30, 2020, Hyundai expanded the recall population, and added certain 2016-2018 Tucson vehicles.  The Anti-lock Brake Hydraulic Electronic Control Unit (HECU) could corrode internally and cause an electrical short, possibly resulting in an engine compartment fire.",An engine compartment fire can increase the risk of injury or crash.,"Hyundai will notify owners, and dealers will replace the HECU fuse.  For 2019-2021 model years, the Electronic Stability Control (ESC) software will also be updated.  Recall repairs will be performed free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 2, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 195.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2021,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2021,2020-09-04
Hyundai Motor America,21V938000,False,False,False,,02/12/2021,ELECTRICAL SYSTEM:SOFTWARE,"Hyundai Motor America (Hyundai) is recalling certain 2022 Tucson vehicles.  The software installed in the Integrated Central Control Unit (ICU) may be incompatible with the vehicle, which could result in inoperative headlights and/or taillights.","Inoperative headlights or taillights can decrease visibility for both the driver and surrounding traffic, increasing the risk of a crash.","Dealers updated the ICU software, free of charge.  All affected vehicles have been repaired and therefore no owner notification letters will be mailed.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 214.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2022,2021-12-02
Hyundai Motor America,23V038000,False,False,False,,31/01/2023,STRUCTURE:BODY:ROOF AND PILLARS,Hyundai Motor America (Hyundai) is recalling certain 2022 Tucson and 2022-2023 Santa Cruz vehicles.  The roof moldings may detach.,"A detached roof molding could become a road hazard, increasing the risk of a crash.","Dealers will inspect and replace, or secure the roof moldings, as necessary, free of charge.  Owner notification letters were mailed March 30, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 241.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2022,2023-01-31
Hyundai Motor America,25V893000,False,True,False,,19/12/2025,TRAILER HITCHES,"Hyundai Motor America (Hyundai) is recalling certain 2022-2024 Tucson vehicles equipped with an optional Mobis tow hitch wiring harness. The wiring harness may have been installed incorrectly, allowing water into the control module. Moisture accumulation may cause the trailer lighting to fail or an electrical short circuit.",Nonfunctioning trailer lights can increase the risk of a crash. A short circuit can increase the risk of a fire.,"Owners are advised to park outside and away from structures until the recall repair is complete. Dealers will install a cap of the wiring, free of charge. Owner notification letters were mailed May 11, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 290. Vehicle Identification Numbers (VINs) involved in this recall  became searchable on NHTSA.gov on December 20, 2025.",,2022,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2022,2025-12-19
Hyundai Motor America,23V526000,False,True,False,,27/07/2023,POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:PUMP,"Hyundai Motor America (Hyundai) is recalling certain 2023-2024 Palisade Tucson, 2023 Sonata, Elantra, and Kona vehicles.  The electronic controller for the Idle Stop & Go oil pump assembly may contain damaged electrical components that can cause the pump controller to overheat.",An electric oil pump assembly that overheats increases the risk of a vehicle fire.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect and replace the electric oil pump controller, as necessary, free of charge.  Owner notification letters were mailed starting September 7, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 246.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2023,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2023,2023-07-27
Hyundai Motor America,25V893000,False,True,False,,19/12/2025,TRAILER HITCHES,"Hyundai Motor America (Hyundai) is recalling certain 2022-2024 Tucson vehicles equipped with an optional Mobis tow hitch wiring harness. The wiring harness may have been installed incorrectly, allowing water into the control module. Moisture accumulation may cause the trailer lighting to fail or an electrical short circuit.",Nonfunctioning trailer lights can increase the risk of a crash. A short circuit can increase the risk of a fire.,"Owners are advised to park outside and away from structures until the recall repair is complete. Dealers will install a cap of the wiring, free of charge. Owner notification letters were mailed May 11, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 290. Vehicle Identification Numbers (VINs) involved in this recall  became searchable on NHTSA.gov on December 20, 2025.",,2023,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2023,2025-12-19
Hyundai Motor America,23V556000,False,False,False,,04/08/2023,EQUIPMENT:OTHER:LABELS,"Hyundai Motor America (Hyundai) is recalling certain 2024 Tucson vehicles.  The tire and loading information label may incorrectly indicate information about a spare tire.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 110, ""Tire Selection and Rims.""","A label that incorrectly states spare tire pressure when there is no spare tire on-board may cause confusion during an emergency tire replacement, increasing the risk of a crash or injury.","Dealers will inspect and replace the tire and loading information label, as necessary, free of charge.  Owner notification letters were mailed September 5, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 247.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2024,2023-08-04
Hyundai Motor America,23V526000,False,True,False,,27/07/2023,POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:PUMP,"Hyundai Motor America (Hyundai) is recalling certain 2023-2024 Palisade Tucson, 2023 Sonata, Elantra, and Kona vehicles.  The electronic controller for the Idle Stop & Go oil pump assembly may contain damaged electrical components that can cause the pump controller to overheat.",An electric oil pump assembly that overheats increases the risk of a vehicle fire.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect and replace the electric oil pump controller, as necessary, free of charge.  Owner notification letters were mailed starting September 7, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 246.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2024,2023-07-27
Hyundai Motor America,24V412000,False,False,False,,05/06/2024,STEERING:ELECTRIC POWER ASSIST SYSTEM,"Hyundai Motor America (Hyundai) is recalling certain 2024 Tucson and Santa Cruz vehicles.  The circuit board in the motor-driven power steering assembly may short circuit, resulting in a loss of power steering assist.",A loss of power steering assist can increase the risk of a crash.,"Dealers will replace the motor-driven power steering electric power pack, free of charge.  Owner notification letters were mailed July 11, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 261.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2024,2024-06-05
Hyundai Motor America,25V893000,False,True,False,,19/12/2025,TRAILER HITCHES,"Hyundai Motor America (Hyundai) is recalling certain 2022-2024 Tucson vehicles equipped with an optional Mobis tow hitch wiring harness. The wiring harness may have been installed incorrectly, allowing water into the control module. Moisture accumulation may cause the trailer lighting to fail or an electrical short circuit.",Nonfunctioning trailer lights can increase the risk of a crash. A short circuit can increase the risk of a fire.,"Owners are advised to park outside and away from structures until the recall repair is complete. Dealers will install a cap of the wiring, free of charge. Owner notification letters were mailed May 11, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 290. Vehicle Identification Numbers (VINs) involved in this recall  became searchable on NHTSA.gov on December 20, 2025.",,2024,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2024,2025-12-19
Hyundai Motor America,24V691000,False,False,False,,13/09/2024,EQUIPMENT:OTHER:LABELS,"Hyundai Motor America (Hyundai) is recalling certain 2025 Tucson vehicles.  The glove box air bag warning label may be missing.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 208, ""Occupant Crash Protection.""","Without the glove box label, operators may be unaware of the increased risks that an air bag poses to an infant or child in the front seat, increasing the risk of injury to occupants.","Hyundai will mail owners the warning labels, free of charge.  Owner notification letters were mailed October 4, 2024.  Owners may contact Hyundai Customer service at 1-855-371-9460.  Hyundai's number for this recall is 268.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2025,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2025,2024-09-13
Hyundai Motor America,24V877000,False,False,False,,20/11/2024,ELECTRICAL SYSTEM:WIRING,"Hyundai Motor America (Hyundai) is recalling certain 2025 Tucson and Santa Cruz vehicles.  The console extension wiring assembly may be routed improperly, allowing the transmission to be shifted out of Park without applying the brake pedal.","A transmission that can shift out of Park without applying the brake pedal can result in a vehicle roll away, increasing the risk of a crash.","Owners are advised to use the parking brake when parking the vehicle.  Dealers will reroute the console extension wiring assembly, free of charge.  Owner notification letters were mailed December 17, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 273.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2025,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2025,2024-11-20
Hyundai Motor America,25V549000,False,False,False,,26/08/2025,ENGINE AND ENGINE COOLING:CRITICAL FASTENERS,"Hyundai Motor America (Hyundai) is recalling certain 2025-2026 Tucson and Santa Fe vehicles. The connecting rod bolts in the engine may have been improperly tightened, which can cause a loss of drive power and engine damage, possibly resulting in an oil leak.",A loss of drive power increases the risk of a crash. An oil leak in the presence of hot engine components can increase the risk of an engine compartment fire.,"Dealers will replace the engine, free of charge. Owner notification letters were mailed October 23, 2025. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 281.",,2025,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2025,2025-08-26
Hyundai Motor America,25V809000,False,False,False,,21/11/2025,AIR BAGS:SIDE/WINDOW:CURTAIN,"Hyundai Motor America (Hyundai) is recalling certain 2025 Tucson, 2025-2026 Santa Cruz, Santa Fe, Santa Fe Hybrid, and 2026 Genesis GV70 vehicles. The side curtain air bags may not have been installed properly, which can cause the air bags not to deploy as intended.",Side curtain air bags that do not deploy as intended increase the risk of injury in a crash.,"Dealers will reinstall the side curtain air bags, free of charge. Owner notification letters were mailed beginning December 29, 2025. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's numbers for this recall are 289 and 029G. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on November 22, 2025.",,2025,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2025,2025-11-21
Hyundai Motor America,26V316000,False,False,False,,19/05/2026,FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,"Hyundai Motor America (Hyundai) is recalling certain 2025-2026 Santa Cruz, Tucson, Tucson Hybrid, and Tucson Plug-In Hybrid Electric (PHEV) vehicles. Software in the front cameras may cause the forward collision avoidance system to activate prematurely and unexpectedly apply the brakes.",Unexpected braking increases the risk of a crash.,"Dealers will update the front camera software, free of charge. Owner notification letters are expected to be mailed July 17, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 302. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on May 20, 2026.",,2025,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2025,2026-05-19
Hyundai Motor America,26V400000,False,False,False,,24/06/2026,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,"Hyundai Motor America (Hyundai) is recalling certain 2025-2026 Tucson, Tucson Hybrid, Tucson Plug-In Hybrid Electric (PHEV) vehicles. Due to a software error, the instrument panel display may fail. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 101, ""Controls and Displays.""","An instrument panel display that fails to show critical safety information, such as the speedometer or warning lights, increases the risk of a crash.","The instrument panel display software will be updated over-the-air (OTA) or by a dealer, free of charge. Owner notification letters are expected to be mailed August 22, 2026. Owners may contact Hyundai's customer service at 855-371-9460. Hyundai's number for this recall is 304. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on June 25, 2026.",,2025,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2025,2026-06-24
Hyundai Motor America,25V549000,False,False,False,,26/08/2025,ENGINE AND ENGINE COOLING:CRITICAL FASTENERS,"Hyundai Motor America (Hyundai) is recalling certain 2025-2026 Tucson and Santa Fe vehicles. The connecting rod bolts in the engine may have been improperly tightened, which can cause a loss of drive power and engine damage, possibly resulting in an oil leak.",A loss of drive power increases the risk of a crash. An oil leak in the presence of hot engine components can increase the risk of an engine compartment fire.,"Dealers will replace the engine, free of charge. Owner notification letters were mailed October 23, 2025. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 281.",,2026,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2026,2025-08-26
Hyundai Motor America,26V047000,False,False,False,,27/01/2026,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,"Hyundai Motor America (Hyundai) is recalling certain 2025-2026 Tucson Hybrid, Tucson Plug-In Hybrid Electric (PHEV), 2026 IONIQ 5, Santa Cruz, Kona, Palisade, Palisade Hybrid, Santa Fe, Santa Fe Hybrid, Sonata, Sonata Hybrid, and Tucson vehicles. Due to a software error, the instrument panel display may fail. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 101, ""Controls and Displays.""","An instrument panel display that fails to show critical safety information, such as the speedometer or warning lights, increases the risk of a crash.","The instrument panel display software will be updated over-the-air (OTA) or by a dealer, free of charge. Owner notification letters were mailed March 24, 2026. Owners may contact Hyundai's customer service at 855-371-9460. Hyundai's number for this recall is 293. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on January 28, 2026.",,2026,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2026,2026-01-27
