odino,instability_score,tier,part_category,severity,driving_context,insufficient_info,mentions_existing_recall,evidence_overlap_iou,symptom_overlap_jaccard
11689901,3,불안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,MODERATE/SERIOUS/CRITICAL,불명/불명/주행 중,False/False/False,True/False/False,0.333,0.487
11677788,3,불안정,INSTRUMENT_CLUSTER/INSUFFICIENT_INFO/INSTRUMENT_CLUSTER,MODERATE/MODERATE/MODERATE,정차·주차 중/불명/불명,False/True/False,False/False/False,1.0,0.194
11548885,2,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,MODERATE/MODERATE/SERIOUS,정차·주차 중/불명/불명,False/False/False,False/False/False,0.331,0.408
11544622,2,부분 흔들림,POWERTRAIN_SW/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,SERIOUS/SERIOUS/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,True/True/True,0.796,0.406
11490756,2,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/SERIOUS/SERIOUS,시동 시/시동 시/불명,False/False/False,True/True/True,1.0,0.451
11580773,2,부분 흔들림,INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER,SERIOUS/CRITICAL/CRITICAL,불명/주행 중/불명,False/False/False,False/False/False,1.0,0.493
11677493,2,부분 흔들림,ELECTRICAL_SYSTEM/NON_ELECTRICAL/ELECTRICAL_SYSTEM,SERIOUS/CRITICAL/SERIOUS,시동 시/시동 시/시동 시,False/False/False,False/False/False,1.0,0.667
11715018,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,불명/주행 중/불명,False/False/False,False/False/False,0.194,0.576
11528536,1,부분 흔들림,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/True/False,0.331,0.44
11542050,1,부분 흔들림,ELECTRICAL_SYSTEM/ADAS/ADAS,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.234
11723787,1,부분 흔들림,POWERTRAIN_SW/POWERTRAIN_SW/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.725
11446690,1,부분 흔들림,POWERTRAIN_SW/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.558,0.685
11668898,1,부분 흔들림,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/정차·주차 중/정차·주차 중,False/False/False,False/False/False,0.739,0.337
11476842,1,부분 흔들림,POWERTRAIN_SW/ELECTRICAL_SYSTEM/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.5
11501381,1,부분 흔들림,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/주행 중,False/False/False,False/False/False,1.0,0.382
11504393,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,SERIOUS/MODERATE/MODERATE,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,True/True/True,1.0,0.778
11506666,1,부분 흔들림,ADAS/ADAS/BRAKES_ELECTRONIC,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.624
11515124,1,부분 흔들림,INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER,CRITICAL/CRITICAL/CRITICAL,불명/불명/주행 중,False/False/False,False/False/False,1.0,0.714
11527874,1,부분 흔들림,ELECTRICAL_SYSTEM/PROPULSION_BATTERY/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,1.0
11533311,1,부분 흔들림,POWERTRAIN_SW/ELECTRICAL_SYSTEM/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.6
11538359,1,부분 흔들림,NON_ELECTRICAL/NON_ELECTRICAL/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,1.0
11542226,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,MODERATE/SERIOUS/MODERATE,불명/불명/불명,False/False/False,False/False/False,1.0,0.733
11544794,1,부분 흔들림,ADAS/ADAS/ADAS,CRITICAL/CRITICAL/SERIOUS,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.458
11568980,1,부분 흔들림,BRAKES_ELECTRONIC/BRAKES_ELECTRONIC/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/True/True,1.0,0.711
11570631,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,SERIOUS/CRITICAL/CRITICAL,불명/불명/불명,False/False/False,False/False/False,1.0,0.4
11575287,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,불명/주행 중/불명,False/False/False,False/False/False,1.0,0.478
